monthly_income,phone_bill_paid_on_time,electricity_usage,num_apps_installed,social_media_hours,upi_txn_count,sms_notifs,location_cluster,creditworthy
62638,0,713,110,7.3,29,2,0,0
62736,1,308,181,6.1,5,12,2,0
78866,1,902,170,6.7,45,7,0,1
29087,1,453,198,0.8,43,6,2,0
51430,0,570,146,9.5,3,0,1,0
34504,0,897,77,8.4,28,15,2,0
17114,1,215,44,8.1,22,5,2,0
88859,1,363,74,8.2,5,6,0,0
20975,0,761,17,9.3,31,11,0,0
21023,0,911,54,5.4,41,8,0,0
31447,0,541,96,2.0,17,10,0,0
33959,1,647,184,6.2,14,9,0,1
76203,0,552,177,7.4,39,0,0,0
39703,0,944,85,7.4,31,17,1,0
19337,1,576,191,5.2,8,3,2,0
56427,0,386,85,0.7,36,4,2,0
71529,0,402,183,3.7,9,8,2,0
94665,0,410,56,9.2,19,16,1,0
41921,1,307,24,5.8,5,2,2,0
43307,1,717,114,5.4,47,15,1,1
37355,1,545,156,2.7,2,4,1,0
14835,1,769,35,3.7,41,15,1,0
30159,1,732,61,9.0,10,2,2,1
57605,1,154,102,6.7,42,19,1,1
48088,1,111,159,7.9,16,14,2,1
88752,0,756,30,4.5,31,2,2,0
65284,0,499,60,6.3,3,19,0,0
67043,1,747,47,2.5,3,13,0,0
45547,0,614,29,7.1,16,15,1,0
92844,0,755,166,4.3,40,16,1,0
37532,1,641,188,4.4,18,19,2,1
44349,0,336,141,6.5,4,17,1,0
55445,0,378,64,9.4,31,17,1,0
15713,0,447,101,0.6,21,13,2,0
66178,0,726,37,8.2,5,17,1,0
59407,0,203,13,2.9,34,14,1,0
80340,1,729,159,4.4,21,14,2,1
60990,1,616,85,0.2,0,5,2,0
85672,1,971,182,3.0,19,14,0,1
75545,0,347,76,5.0,21,17,2,0
94791,1,463,95,0.6,47,3,0,1
68141,0,420,171,4.9,10,7,1,0
33793,0,732,100,9.3,12,14,2,0
66570,0,385,192,1.1,41,2,2,0
47892,0,248,114,7.6,2,14,2,0
11015,1,183,10,4.1,8,12,1,0
71813,1,505,81,6.6,11,8,0,1
37712,0,555,96,2.6,22,1,1,0
18415,1,842,175,1.6,13,7,1,0
72292,0,899,15,1.6,32,19,2,0
33833,1,260,162,0.7,17,16,0,1
14158,1,883,154,1.9,48,12,1,0
72680,0,559,70,6.6,40,0,2,0
30309,1,649,21,8.8,8,1,1,1
16970,0,599,15,8.1,22,14,1,0
82474,1,837,36,6.9,9,11,2,1
96704,0,608,145,1.1,18,13,2,0
56540,0,753,133,2.9,46,1,0,0
30384,1,903,115,3.1,4,17,1,0
28017,1,580,194,2.5,46,6,2,0
85880,0,762,102,5.2,22,5,2,0
18702,1,213,118,5.4,29,13,0,0
10384,1,848,108,3.6,24,7,0,0
10404,0,677,177,3.5,27,1,2,0
50943,0,460,151,8.3,33,16,0,0
57926,1,440,44,7.9,44,4,2,1
39189,0,869,185,3.1,47,13,1,0
22763,0,860,93,9.1,46,19,0,0
28384,0,548,65,9.5,24,2,1,0
70100,1,942,186,3.3,9,4,1,1
19860,1,934,150,3.5,13,15,1,0
90642,0,279,198,5.1,41,17,2,0
60612,1,801,58,9.4,45,16,1,1
33574,0,506,55,8.8,29,10,1,0
33524,1,765,122,1.0,40,16,1,1
79172,0,295,199,3.9,24,15,2,0
20916,0,565,145,5.5,13,1,1,0
14809,1,410,52,5.0,34,3,1,0
42201,0,361,157,1.9,47,6,0,0
63330,1,518,133,8.6,33,1,2,1
23456,1,505,106,6.8,9,5,1,0
66397,0,242,99,8.4,34,16,0,0
48765,0,441,48,8.6,10,6,2,0
44816,1,415,94,7.5,10,4,2,1
55106,0,200,186,4.4,20,4,2,0
63932,0,343,71,6.1,20,19,2,0
27100,0,589,115,1.6,21,15,2,0
67091,0,111,116,6.7,44,18,2,0
31949,0,338,63,1.8,6,8,1,0
80080,1,660,135,6.9,16,4,1,1
47744,1,141,18,2.3,1,7,1,0
55543,0,777,97,1.2,11,8,1,0
46187,0,693,46,1.7,41,4,0,0
17239,0,528,58,0.0,17,9,1,0
24489,1,902,50,7.2,10,1,2,0
68017,0,257,26,7.3,15,8,1,0
71877,1,315,97,5.1,48,10,1,1
53125,1,769,30,1.6,17,3,2,1
59922,1,561,60,0.8,34,1,1,1
42049,0,233,68,0.2,25,5,1,0
47131,1,166,176,1.7,15,13,1,1
52944,0,947,192,8.9,5,0,0,0
83963,1,106,50,2.4,43,17,1,1
34285,0,625,48,3.5,42,6,2,0
47626,1,172,150,1.1,46,0,2,1
52808,0,498,20,2.2,46,0,1,0
98464,1,504,156,5.2,47,0,1,1
63871,0,774,148,6.1,41,3,1,0
29198,0,677,86,2.5,11,3,2,0
29758,0,958,136,0.6,12,17,2,0
25254,0,229,55,3.9,3,10,0,0
54238,1,565,54,2.3,38,0,0,1
11252,1,305,10,2.2,1,9,0,0
49764,0,887,177,9.6,25,8,2,0
87709,1,867,117,6.2,26,3,0,1
47441,0,365,28,5.6,26,5,1,0
63682,0,636,85,4.2,14,15,1,0
69494,1,892,81,4.3,7,1,2,1
91317,0,352,198,5.4,6,17,0,0
75215,0,921,118,7.0,46,9,1,0
88587,1,388,21,7.0,45,16,2,1
16949,0,263,198,1.7,39,12,0,0
65393,0,194,170,5.0,11,17,1,0
83553,0,881,54,4.1,12,12,0,0
16941,0,932,99,8.7,42,16,2,0
35934,1,209,112,6.3,16,4,0,1
33386,1,435,17,5.3,16,10,2,1
71886,1,921,162,1.2,35,6,0,1
85745,0,337,100,6.1,20,9,1,0
93251,0,480,183,1.2,7,16,2,0
63413,1,535,96,3.4,4,14,2,0
66800,0,998,167,1.4,25,17,2,0
52318,0,582,184,6.9,15,18,0,0
80173,0,124,186,2.1,35,1,0,0
80390,0,752,184,3.9,27,3,1,0
62329,1,216,93,9.0,28,2,2,1
53088,1,581,91,2.0,46,6,2,1
49811,1,491,155,5.1,11,17,0,1
65479,0,636,77,4.2,36,9,0,0
95392,1,178,170,0.2,29,6,1,1
97369,1,679,136,7.9,22,7,1,1
29963,0,272,173,0.7,15,5,0,0
65123,0,111,91,4.7,13,0,2,0
83477,1,899,156,5.6,9,3,1,1
24388,1,227,165,6.3,6,13,0,0
15569,1,707,177,6.9,44,16,0,0
79836,1,191,93,2.5,36,19,2,1
46586,0,752,122,0.1,28,17,0,0
22015,1,642,85,7.2,2,10,0,0
55002,1,945,131,5.4,14,13,1,1
16254,0,631,152,8.4,35,8,0,0
27144,1,757,50,8.2,46,14,0,0
34214,0,927,176,8.4,45,11,1,0
90719,0,546,11,4.9,18,9,2,0
81774,0,489,38,3.3,12,18,2,0
16090,1,771,114,7.9,41,18,1,0
21637,1,960,60,4.5,20,5,1,0
32415,0,142,84,1.8,36,19,2,0
34071,1,353,19,8.5,26,5,2,1
68243,1,229,151,8.8,28,7,2,1
51240,0,159,60,4.7,19,0,2,0
93807,0,762,127,0.8,24,16,2,0
43434,1,566,130,3.9,5,16,1,0
79724,0,386,48,8.0,35,14,0,0
85697,1,616,37,9.0,1,6,2,0
38732,1,566,12,2.0,21,18,2,1
21314,1,877,93,0.7,31,2,0,0
33954,1,444,164,8.8,15,10,0,1
67108,0,741,126,3.9,17,19,0,0
97044,0,481,11,5.4,4,18,0,0
97505,0,878,102,9.7,35,8,0,0
46668,0,789,175,0.7,29,9,0,0
33061,1,352,140,6.5,44,1,1,1
89252,1,155,153,0.7,18,0,0,1
49749,0,562,103,3.8,22,15,0,0
26907,1,556,49,8.0,33,17,1,0
28777,1,182,11,4.3,12,16,0,0
61745,1,198,90,10.0,42,5,2,1
91818,0,248,178,5.6,28,13,2,0
33624,0,428,21,3.2,35,14,0,0
33321,0,255,172,2.2,21,13,1,0
20488,1,289,74,3.5,46,2,2,0
32574,0,593,64,3.7,35,18,1,0
15240,0,982,54,0.7,8,11,2,0
53221,0,362,110,3.7,38,1,0,0
20478,0,179,71,4.6,18,2,1,0
65645,0,499,58,7.2,37,17,1,0
29262,0,863,136,6.6,5,0,1,0
62796,1,708,162,7.1,46,19,2,1
14432,1,359,32,0.1,14,5,2,0
74291,0,871,161,2.2,19,4,2,0
89104,0,714,47,6.6,8,0,0,0
69399,1,651,37,4.8,31,18,2,1
89714,1,884,30,0.1,3,0,0,0
60428,0,200,191,8.0,49,15,1,0
97731,0,458,116,7.7,17,11,1,0
10302,0,479,155,5.5,4,7,0,0
92558,0,919,173,0.7,19,15,2,0
10055,1,320,108,7.7,22,0,0,0
18717,0,919,182,5.8,10,3,1,0
38699,0,519,128,7.8,36,9,1,0
83686,0,223,82,7.5,21,10,0,0
77661,0,521,190,8.0,3,16,2,0
54247,1,330,131,5.2,28,6,2,1
26748,1,789,39,1.4,43,11,0,0
14621,1,162,197,6.7,33,6,0,0
25034,0,584,117,6.2,12,11,2,0
15126,0,727,107,7.4,41,14,1,0
15122,1,802,41,1.7,8,1,0,0
28030,0,673,165,1.9,41,13,2,0
92838,0,867,181,8.9,30,12,2,0
94717,1,582,88,7.5,6,3,1,1
65658,1,618,50,9.1,3,13,1,0
48638,1,254,72,7.6,18,13,1,1
77067,1,191,32,6.0,41,15,1,1
98869,0,625,113,6.5,29,6,1,0
44674,0,554,84,8.9,30,18,0,0
45854,1,840,57,5.8,34,1,2,1
56271,0,697,169,6.3,20,9,0,0
83688,1,744,66,1.6,30,17,0,1
48518,1,609,127,4.7,18,16,0,1
20267,0,282,109,7.2,30,4,0,0
11062,1,485,133,2.7,31,11,0,0
60448,0,673,170,2.0,1,5,1,0
16229,0,830,161,3.1,9,8,1,0
66793,0,504,176,2.4,1,19,2,0
57915,0,345,43,2.1,1,0,0,0
14632,1,841,193,4.2,23,14,2,0
13596,0,690,165,9.1,16,5,1,0
16168,1,760,174,5.1,31,18,1,0
17561,1,749,16,1.9,15,17,1,0
83794,1,570,174,0.8,15,5,0,1
92152,1,925,65,7.0,45,12,0,1
36734,0,987,74,3.8,38,0,1,0
16371,0,522,56,8.2,30,12,2,0
36069,1,164,157,6.6,42,6,2,1
89905,1,112,28,8.0,23,14,1,1
22910,0,312,166,2.7,0,11,2,0
83479,1,341,197,6.9,10,0,1,1
87735,0,592,155,2.6,20,14,2,0
91264,1,312,172,9.4,3,3,1,0
33275,0,792,180,6.4,6,12,2,0
82274,1,437,135,3.2,25,4,0,1
91449,1,272,148,2.7,46,1,1,1
70004,0,771,58,1.9,49,0,1,0
72981,1,263,122,6.9,11,15,2,1
94659,1,564,47,2.2,30,5,1,1
64553,0,596,73,6.0,16,15,1,0
58447,1,799,78,2.6,32,13,1,1
44529,0,494,145,6.6,10,2,0,0
85703,0,802,171,8.1,27,14,0,0
86090,1,407,185,7.8,31,2,2,1
27260,1,867,125,7.6,0,1,0,0
13812,1,282,193,1.9,46,0,2,0
38024,1,728,74,0.9,27,8,0,1
68656,1,893,40,7.0,41,8,2,1
37285,1,609,141,3.7,6,6,0,1
11605,1,807,122,4.3,1,2,0,0
81158,0,645,118,0.3,41,17,2,0
82303,1,663,187,2.6,23,10,1,1
37139,0,723,78,0.3,3,6,1,0
87149,1,863,167,8.8,43,8,0,1
66138,1,693,129,2.4,18,0,2,1
86125,0,843,97,5.6,25,13,1,0
23918,1,326,196,0.4,10,19,2,0
95655,1,844,76,6.7,39,5,1,1
37446,0,832,84,3.2,49,6,2,0
23046,1,535,54,9.0,42,9,0,0
34818,1,521,13,8.9,10,6,2,1
14324,1,653,163,3.3,44,1,1,0
86323,0,120,164,9.0,2,3,0,0
19111,1,653,183,10.0,11,16,2,0
48110,1,496,116,8.3,2,0,1,0
26389,1,724,60,8.4,41,9,0,0
51427,1,204,59,2.5,26,18,2,1
89579,0,291,15,5.8,48,14,1,0
38746,0,116,68,0.7,1,9,2,0
97886,1,219,134,0.9,48,18,2,1
10117,1,492,152,10.0,15,11,0,0
94471,0,524,39,3.3,1,15,0,0
23234,0,228,179,7.5,29,8,1,0
63441,1,229,131,8.1,19,14,0,1
10846,0,671,134,8.6,37,16,1,0
20954,1,659,46,10.0,27,13,2,0
89239,0,128,179,2.4,24,17,2,0
56514,0,196,133,0.4,31,1,1,0
98236,0,109,110,4.1,9,3,2,0
16469,0,341,44,1.3,41,17,0,0
40105,1,925,96,0.2,39,6,2,1
52101,0,331,143,3.6,32,12,0,0
74323,0,888,27,7.8,12,14,1,0
68067,1,383,122,5.7,40,0,1,1
59376,0,814,38,3.1,41,10,2,0
55587,0,858,86,6.5,46,9,2,0
46976,1,901,68,2.3,36,4,0,1
77584,0,875,184,0.1,15,15,0,0
88477,1,825,135,7.6,44,10,2,1
52533,1,299,154,6.2,21,5,2,1
11828,1,178,118,7.6,19,8,1,0
11917,1,954,31,0.4,49,12,1,0
30618,0,955,77,8.4,42,7,1,0
42254,1,272,78,6.2,26,13,2,1
57362,0,566,174,5.6,40,0,2,0
30128,0,680,58,6.2,15,16,2,0
69383,0,515,150,8.6,33,4,1,0
75545,0,548,171,5.9,31,1,2,0
92180,0,186,118,5.8,25,8,0,0
97958,0,200,95,9.9,24,3,2,0
19865,0,107,62,7.6,1,16,2,0
12219,0,944,132,4.4,11,16,2,0
49809,0,299,96,7.1,39,17,2,0
15287,0,604,188,3.9,8,15,2,0
44387,1,186,140,2.3,11,7,0,1
18512,1,142,51,6.0,25,10,0,0
11342,1,484,107,9.3,8,17,2,0
73076,0,720,169,9.3,9,9,1,0
29216,1,534,118,3.4,31,12,2,0
89767,1,507,60,5.3,33,16,2,1
36614,1,582,94,2.1,47,17,2,1
46258,0,763,183,10.0,19,9,1,0
52078,0,116,136,9.8,38,15,1,0
93524,0,744,30,6.5,1,19,1,0
22219,0,247,53,8.0,0,4,0,0
10235,1,376,148,7.2,35,12,1,0
52929,1,331,112,5.9,23,17,0,1
77444,1,925,77,0.5,26,16,0,1
18567,1,465,138,4.5,1,8,1,0
80792,0,327,101,6.7,30,13,1,0
75441,0,750,33,6.8,13,16,1,0
94555,0,535,134,3.7,1,3,0,0
83698,1,498,150,9.4,28,17,2,1
15415,0,310,120,1.7,14,19,1,0
46159,0,490,107,5.0,11,14,1,0
53925,1,598,148,6.9,36,10,1,1
15951,1,639,188,7.0,27,11,0,0
97388,0,662,26,6.5,19,8,0,0
18007,0,590,108,2.8,38,12,2,0
51832,0,541,91,1.6,23,14,1,0
68596,0,360,113,6.4,20,14,0,0
40523,0,872,161,6.0,9,4,2,0
